Model,Best Damping,Best Rank,Best regParam,Best MaxIter,Test Results - MAP@100,Test Results - NDCG@100
Popularity,40,NA,NA,NA,0.0493,0.1794
ALS,NA,50,0.1,35,0.0832,0.1973
